Label,Abstract_unclean
clinical depression,Cognitive impairment is a common often persistent symptom of major depressive disorder MDD that is disproportionately represented in patients who have not returned to full psychosocial functioning The ultimate goal of treatment in depression is full functional recovery and assessing patients for cognitive impairment and selecting treatments that address cognitive dysfunction should lead to improved functional outcomes Unfortunately many clinicians use screening and assessment tools that are not suited for measuring cognitive impairment in patients with depression The new THINCit assessment tool is the first instrument that provides objective and subjective data on dysfunction in all the cognitive domains commonly affected by depression In regard to treatment several pharmacologic and nonpharmacologic interventions have been investigated as treatments for cognitive dysfunction in individuals with MDD However very few studies of treatments for cognitive function in patients with MDD have been adequate in terms of sample size and study methods to guide
clinical depression,Pleasure and motivation are important factors for goaldirected behavior and wellbeing in both animals and humans Intact hedonic capacity requires an undisturbed interplay between a number of different brain regions and transmitter systems Concordantly dysfunction of networks encoding for reward have been shown in depression and other psychiatric disorders The development of technological possibilities to investigate connectivity on a functional level in humans and to directly influence networks in animals using optogenetics among other techniques has provided new important insights in this field of researchIn this review we aim to provide an overview on the neurobiological substrates of anhedonia on a network level For this purpose definition of anhedonia and the involved reward components are described first then current data on reward networks in healthy individuals and in depressed patients are summarized and the roles of different neurotransmitter systems involved in reward processing are specified Based on this information the
clinical depression,Depression clinical interview corpora are essential for advancing automated depression diagnosis While previous studies have used written speech material in controlled settings these materials do not accurately represent spontaneous conversational speech Additionally selfreported measures of depression are subject to bias making the data unreliable for training models for realworld scenarios This study introduces a new corpus of depression clinical interviews collected directly from a psychiatric hospital containing recordings with healthy and depressive patients The subjects were examined using the MontgomeryAsberg Depression Rating Scale MADRS in Chinese Their final diagnosis was based on medical evaluations through a clinical interview conducted by a psychiatry specialist All interviews were audiorecorded and transcribed verbatim and annotated by experienced physicians This dataset is a valuable resource for automated depression detection research and is expected to advance the field of psychology Baseline models for detecting and predicting depression presence and level were built and descriptive statistics
clinical depression,The clinical phenotype of the socalled lateonset depression LOD affecting up to of older adults and yielding heterogeneous manifestations concerning symptoms severity and course has not been fully elucidated yet This European crosssectional noninterventional naturalistic multicenter study systematically investigated sociodemographic and clinical correlates of earlyonset depression EOD and LOD age of onset years in adult in and outpatients of both sexes receiving adequate psychopharmacotherapy In a total of patients with known age of disease onset LOD was identified in and was associated with unemployment an ongoing relationship single major depressive episodes lower current suicidal risk and higher occurrence of comorbid hypertension In contrast EOD was related to higher rates of comorbid migraine and additional psychotherapy Although the applied study design does not allow to draw any causal conclusions the present results reflect broad clinical settings and emphasize easily obtainable features which might be characteristic for EOD and LOD A thoughtful
clinical depression,Mental disorders are rapidly increasing each year and have become a major challenge affecting the social and financial wellbeing of individuals There is a need for phenotypic characterization of psychiatric disorders with biomarkers to provide a rich signature for Major Depressive Disorder improving the understanding of the pathophysiological mechanisms underlying these mental disorders This comprehensive review focuses on depression and relapse detection modalities such as selfquestionnaires audiovisuals and EEG highlighting noteworthy publications in the last ten years The article concentrates on the literature that adopts machine learning by audiovisual and EEG signals It also outlines preprocessing feature extraction and public datasets for depression detection The review concludes with recommendations that will help improve the reliability of developed models and the determinism of computational intelligencebased systems in psychiatry To the best of our knowledge this survey is the first comprehensive review on depression and relapse prediction by selfquestionnaires audiovisual and EEGbased
clinical depression,BackgroundSymptom severity as a moderator of treatment response has been the subject of debate over the past years Each of the meta and megaanalyses examining the treatment significance of depression severity used the Hamilton Depression Rating Scale HAMD wholly or in part to define severity though the cutoff used to define severe depression varied There is limited empirical research establishing cutoff scores for bands of severity on the HAMD The goal of the study is to empirically establish cutoff scores on the HAMD in their allocation of patients to severity groupsMethodsSix hundred twentyseven outpatients with current major depressive disorder were evaluated with a semistructured diagnostic interview Scores on the item HAMD were derived from ratings according to the conversion method described by Endicott et al 1981 The patients were also rated on the Clinical Global Index of Severity CGI Receiver operating curves were computed to identify the cutoff that optimally
clinical depression,discriminated between patients with mild vs moderate and moderate vs severe depressionResultsHAMD scores were significantly lower in patients with mild depression than patients with moderate depression and patients with moderate depression scored significantly lower than patients with severe depression The cutoff score on the HAMD that maximized the sum of sensitivity and specificity was for the comparison of mild vs moderate depression and for the comparison of moderate vs severe depressionLimitationsThe present study was conducted in a single outpatient practice in which the majority of patients were white female and had health insurance Although the study was limited to a single site a strength of the recruitment procedure was that the sample was not selected for participation in a treatment study and exclusion and inclusion criteria did not reduce the representativeness of the patient groups The analyses were based on HAMD scores extracted from ratings on the SADS However we
clinical depression,ObjectivebackgroundPatients with obstructive sleep apnea OSA experience daytime sleepiness cognitive impairment and depressive symptoms However the measured prevalence of clinical depression in OSA using standardized clinical assessment is currently unclear The aims of this study were to examine the prevalence of clinical depression and antidepressant use in untreated OSA patients to examine predictors of depression and to conduct an exploratory metaanalysis to determine the pooled prevalence of clinical depression in this populationPatientsmethodsIn sum consecutive patients with diagnosed OSA mean age SD years female who presented to the sleep laboratory completed a structured clinical interview for depression SCIDIV the Hospital Anxiety and Depression Scale the Pittsburgh Sleep Quality Index PSQI the Functional Outcomes of Sleep Questionnaire FOSQ the Assessment of Quality of Life Questionnaire AQoL and the Epworth Sleepiness Scale EES An exploratory metaanalysis was also conducted to quantify the risk of clinical depression in untreated OSAResultsTwentyfive participants had clinical depression
clinical depression,Purpose of reviewScreening for clinical depression and bipolar disorder remains controversial Screening is usually based on finding discriminating symptoms but not all tools perform equally well Clinicians should be able to assess the clinical utility of screening tests as well as their accuracy and acceptabilityRecent findingsScreening for depression using the Patient Health Questionnaire PHQ has been extensively examined Four main versions of scoring the PHQ exist The twoitem PHQ2 the nineitem PHQ9 the PHQ DSMIV algorithm and the twostep PHQ2 then PHQ9 Recent results suggest that the PHQ9 is more accurate than the PHQ2 and that the algorithm scoring method is preferred to the linear cutoff score The twostep procedure has promise but it has not been adequately tested Two screening questions may be a useful compromise in medical settings as they take less than min but about a quarter of patients do not receive screening even when implemented systematically
clinical depression,The placebo effect is an excellent model for understanding the mechanisms underlying the interaction between a subjective and complex mental activity beliefs expectations hopes learning patientphysician relationship sociocultural context with different neural and biological systems Initially research on the placebo effect has focused on the mechanisms of pain and analgesia The cognitive processes of conditioning and reward anticipation hope of a relief were highlighted The involvement of different neurobiological pathways has been clearly shown endogenous opioids CCK dopaminergic pathways endocannabinoids immunological factors More recently the field has open towards new perspectives depression and anxiety motor disorders immune system endocrine system Intensive research in the field emerges because of its fundamental implications in neuroscience research but also because of the ethical clinical and therapeutical issues Moreover the placebo effect is considered as a main methodological mean issue in clinical trials that allows the demonstration of the efficacy and tolerance of new
clinical depression,To determine whether the presence of melancholic features in hospitalized patients with major depressive disorder MDD was associated with specific clinical characteristics and treatment outcomes supporting melancholic depression as a distinct subtype within MDD acutely ill inpatients with MDD were enrolled in an open week trial with fixeddose fluoxetine 20mg daily Symptom severity was assessed regularly using the item Hamilton Depression Rating Scale HAMD and Clinical Global Impression of Severity CGIS Melancholic features were defined according to the DSMIV criteria Clinical variables were compared between patients with and without melancholic features Generalized estimating equations method was used to explore the differences in HAMD and CGIS scores between the groups over time Clinical response was defined as having a or greater reduction in HAMD scores of the patients with at least one postbaseline assessment met the criteria for melancholic depression Melancholic depression differed from nonmelancholic depression in clinical characteristics and predicted
clinical depression,Clinical features of postpsychotic depression in schizophrenia have been described since the beginning of the century However international nosographies mention this concept only since the ICD and the DSM IV In clinical practice postpsychotic depression is a real challenge Currently the exact prevalence remains undetermined and is estimated about varying from to in the literature The diagnostic criteria nowadays available will encourage searchers to determine the exact prevalence of postpsychotic depression This is surely due to difficulties in the diagnostic approach The clinical picture resembles that of major depression However there are confounding factors such as negative symptoms and extrapyramidal symptoms With regard to psychometrics two specific rating scales are thought to measure depressive symptoms in schizophrenia the Calgary Depression Scale CDS and the Psychotic Depression Scale PDS Nonetheless the scales are not specific for postpsychotic depression Prognosis of an acute schizophrenia is linked among other factors with the emergence
clinical depression,The use of centralized raters who are remotely linked to sites and interview patients via videoconferencing or teleconferencing has been suggested as a way to improve interrater reliability and interview quality This study compared the effect of sitebased and centralized ratings on patient selection and placebo response in subjects with major depressive disorder Subjects in a center placebo and active comparator controlled depression trial were interviewed twice at each of time points baseline week postbaseline and end pointonce by the site rater and once remotely via videoconference by a centralized rater Raters were blind to each others scores A sitebased score of greater than on the item Hamilton Depression Rating Scale HDRS was required for study entry When examining all subjects entering the study sitebased raters HDRS scores were significantly higher than centralized raters at baseline and postbaseline but not at end point At baseline of subjects given an HDRS
clinical depression,ObjectiveThe present study evaluates the impact of a range of psychosocial factors on the outcome of major depression while controlling for the effect of clinical variablesMethodPatients n seen in consultation at a mood disorders clinic completed measures of neuroticism rumination coping style sexual abuse history and parental bonding experiences at Time and completed measures of interpersonal and achievement life events and depression months laterResultsIn univariate analyses neuroticism rumination interpersonal and achievement life events and sexual abuse history were associated with nonremission whereas avoidance coping was associated with remission at Time Interpersonal and achievement life events and sexual abuse history were associated with nonimprovement whereas avoidance coping was associated with improvement at Time Significant predictors of both remission and improvement in logistic regression analyses controlling for clinical variables depression and anxiety severity duration of illness and age included avoidance interpersonal life events and the interaction between avoidance and interpersonal life eventsConclusionsInterpersonal
clinical depression,Each year in America approximately million people suffer from depression at a cost of more than billion People who are depressed have more medical illnesses than those without depression and make greater use of healthcare services In a month period after having been diagnosed with depression sufferers are times more likely to die as those who do not have depression Almost of suicides have their roots in major depression and of those admitted to a psychiatric hospital for depression eventually kill themselves Although depression is highly treatable only one third of sufferers receive suitable treatment The reason for underdiagnosis is fold Physicians may fail to recognize depression and sufferers may actively deny it A family history of depression is an important cause in those who suffer recurrent episodes Major depressive disorder is the most common type of depression and unless treated resolves by itself in months to a year less
clinical depression,BackgroundReverse translating putative biomarkers of depression from patients to animals is complex because Major Depressive Disorder MDD is a highly heterogenous condition This review proposes an approach to reverse translation based on relating relevant biobehavioural functions in laboratory rodents to MDD symptomsMethodsThis systematic review outlines symptom clusters assessed by psychometric tests of MDD and antidepressant treatment response including the Montgomerysberg Depression Rating Scale the Hamilton Depression Rating Scale and the Beck Depression Inventory Symptoms were related to relevant behavioural assays in laboratory rodentsResultsThe resulting battery of tests includes passive coping anxietylike behaviours sleep caloric intake cognition psychomotor functions hedonic reactivity and aversive learning These assays are discussed alongside relevant clinical symptoms of MDD providing a framework through which reverse translation of a biomarker can be interpretedLimitationsCertain aspects of MDD may not be quantified by tests in laboratory rodents and their biological significance may not always be of clinical relevanceConclusionsUsing this
clinical depression,Although depression is the leading cause of disability worldwide current understanding of the neurobiology of depression has failed to be translated into clinical practice Major depressive disorder MDD pathogenesis is considered to be significantly influenced by multiple risk genes however genetic effects are not simply expressed at a behavioral level Therefore the concept of endophenotype has been applied in psychiatric genetics Imaging genetics applies anatomical or functional imaging technologies as phenotypic assays to evaluate genetic variation and their impact on behavior This paper attempts to provide a comprehensive review of available imaging genetics studies including reports on genetic variants that have most frequently been linked to MDD such as the monoaminergic genes serotonin transporter gene monoamine oxidase A gene tryptophan hydroxylase gene serotonin receptor 1A gene and catecholOmethyl transferase gene with regard to key structures involved in emotion processing such as the hippocampus amygdala anterior cingulate cortex and orbitofrontal cortex
clinical depression,Major depressive disorder is a common psychiatric illness At present there are no objective nonverbal automated markers that can reliably track treatment response Here we explore the use of video analysis of facial expressivity in a cohort of severely depressed patients before and after deep brain stimulation DBS an experimental treatment for depression We introduced a set of variability measurements to obtain unsupervised features from muted video recordings which were then leveraged to build predictive models to classify three levels of severity in the patients recovery from depression Multiscale entropy was utilized to estimate the variability in pixel intensity level at various time scales A dynamic latent variable model was utilized to learn a lowdimensional representation of factors that describe the dynamic relationship between highdimensional pixels in each video frame and over time Finally a novel elastic net ordinal regression model was trained to predict the severity of depression as
clinical depression,BackgroundThis study examined clinically diagnosed depression as a risk factor for incidence of death by stroke in a prospective clinically based design study Risk for stroke was examined separately by sex in a longterm followup study spanning yearsMethodsPatients who were diagnosed with depression in the Chichester population Salisbury population Catchment Area Study were followed up for years Death certificates were used to determine the cause of death in the cohort Death rates in the general population adjusted for age gender and year were used as a controlResultsClinical depression was found to be a risk factor for subsequent death from stroke in men but not in women Death by stroke was a statistically significant cause of death in the men with diagnoses of endogenous depression but not in those men diagnosed with reactive depression The strength of the relationship of depression with stroke increased over timeConclusionsThese findings suggest that the identification
clinical depression,RationaleAlthough depression is common in older adults with schizophrenia it has not been well studied The authors examine those factors that are related to depression in a multiracial urban sample of older persons with schizophreniaMethodsThe schizophrenia group consisted of persons aged or older who lived in the community and developed schizophrenia before age Persons with substantial cognitive impairment were excluded from the study A community comparison group N was recruited using randomly selected census tract data The authors adapted Georges Social Antecedent Model of Depression which consists of six categories comprising independent variables and used a dichotomous dependent variable based on a Center for Epidemiologic Studies Depression Scale cutoff score of or ResultsThe schizophrenia group had significantly more persons with clinical depression than the community comparison group versus respectively chi df p Bivariate analysis revealed that eight of the variables were significantly related to clinical depression in the schizophrenia group
clinical depression,BackgroundImpaired social adjustment in depression has been associated with clinical variables although results have been inconsistent Previous research has not examined how social adjustment in depression varies by source of sample clinical vs community or the associations with personalityMethodsA total of depressed outpatients from two samples completed the Social Adjustment Scale and were assessed on a number of clinical variables including depression severity age duration of depression and personality symptomsResultsOverall social adjustment scores in our clinical samples were similar to those of an overseas clinical sample although there were some differences by subscales In addition the social adjustment scores of our clinical sample were significantly more impaired than those of individuals identified as depressed from a local epidemiological sample Finally in multiple regression equations social adjustment scores were predicted by the clinical variables severity of depression younger age and personality symptoms However these only explained a small amount of variance
clinical depression,Attentional impairment in depression is a cardinal feature of depression and has been proposed as a candidate endophenotype for major depressive disorder Eventrelated potentials ERPs elicited by oddball signal detection tasks provide objective markers of selective stimulus processing and are pertinent endophenotypic markers for depression While previous studies have sought to determine objective markers for attentional impairment in depression evidence is inconsistent and may involve heterogeneity in relatively small samples Here we brought together oddball ERP recording with source localization of neural correlates of selective attention in outpatients with major depressive disorder MDD n and participants with depressed mood PDM n relative to healthy controls CTL n The key finding was a dimensional exaggeration of the P200 ms to both target signal and nontarget noise stimuli most pronounced in MDD followed by PDM relative to CTL This exaggeration was coupled with slower and more variable response times suggesting that neural
clinical depression,Depression is a common mental disorder that presents with depressed mood It can become chronic or recurrent and lead to substantial impairment in an individuals ability to function At this level it is identified as major depressive disorder MDD Depression and MDD occur across all racial and ethnic groups Although many depressed patients are treated in primary care depression in these settings has been underdetected and undertreated African Americans especially who suffer from depression are frequently underdiagnosed and inadequately managed in primary care due to patient physician and treatment setting factors Patient factors include being poor uninsured restrictive insurance policies biologicalgenetic vulnerability nonresponsiveness to traditional pharmacological interventions and stigma ie attitudes and perceptions of mental illness Physician factors include diagnosis and assessment physician characteristics physician bias and culture and treatment setting factors include systemic variables such as lack of or poor access to health care racism environment and patient management
clinical depression,Major depressive disorder MDD is a prevalent mental illness associated with significant impairment in quality of life and treatment resistance in as many as of patients Few alternatives to psychopharmacological and electroconvulsive therapy ECT exist Transcranial magnetic stimulation TMS is one such alternative with demonstrated efficacy in the treatment of both MDD and treatment resistant depression TRD Accrued evidence from metaanalyses suggests that rTMS has moderate effect sizes in both MDD and TRD comparable though less robust to those seen in ECT treated patients and similar to those seen with antidepressant treatment in TRD To date rTMS has been used in adult pediatric and geriatric populations with success Predictors of response include lower age lower degrees of treatment resistance and the absence of comorbid anxiety or psychotic symptoms rTMS is costeffective when compared to existing treatments for TRD including psychopharmacological interventions and ECT More research however is needed to determine
clinical depression,Depressive disorders are a problem for troubled teenagers their families and society at large that is hard to overestimate In the US as in many other countries more than in teenagers report depressive symptoms above clinical cutoff levels whereas in report having had at least lifetime episode of major depressive disorder MDD1Depressive disorders are associated with many severe additional problems such as the strongly increased risk of suicide a cause of death that is on the rise among young people in the US2Treatment of adolescents with depression is at the core of child and adolescent mental health care and it is essential for our services to be able to deliver treatments that are both effective and economically viable Still there are substantial limitations in our knowledge as to what kind of treatment is most effective and as to potential moderators or biomarkers of different treatment outcomes Of particularly high interest
clinical depression,BackgroundThe relationship between severe inflammation and clinical depression in the context of major medical illnesses has been addressed but the relationship between inflammation caused by mild infections and clinical depression is unclear We aimed to examine whether a history of repeated lowgrade infections RLGI in medically healthy subjects MHS could increase their vulnerability to major depressive disorder MDD ICDCM and whether RLGI could be associated with higher resistance to antidepressants in those developing MDDMethodA nationwide populationbased cohort study January 1996 to December 2011 was conducted for MHS with and without a history of RLGI The rates of MDD during an up to year followup period were compared between the groups in independent cohorts The stratified responses to adequate antidepressant trials including easytotreat ETT and difficulttotreat DTT responses were also compared in the MDD patientsResultsDuring the followup the cohorts consistently revealed that the RLGI ie highinflammation n group had a significantly
clinical depression,Aims and objectivesTo describe how patients with major depression in psychiatric outpatient care use the portfolio method and whether the method helps the patients to understand their depressionBackgroundMajor depressive disorder is an increasing problem in society Learning about ones depression has been demonstrated to be important for recovery If the goal is better understanding and management of depression learning must proceed on the patients own terms based on the patients previous understanding of their depression Learning must be aligned with patient needs if it is to result in meaningful and useful understandingDesignEach patients portfolio consisted of a binder Inside the binder there was a register with predetermined flaps and questions The patients were asked to work with the questions in the sections that built the content in the portfolioMethodsIndividual interviews with patients n suffering from major depression according to Diagnostic and Statistical Manual of Mental Disorders Fourth Edition DSMIV American
clinical depression,This column is the third in a series that began in January 2009 on the improved understanding of and ability to treat patients with major depression This column focuses on options for the patient who has not benefitted from one or more adequate trials of currently available antidepressants It begins with a summary of the results of the switching and augmentation strategies studied in the landmark Sequenced Treatment Alternatives to Relieve Depression STARD study funded by the National Institute of Mental Health NIMH The column then discusses options not included in the STARD study including aripiprazole which is now the first medication approved by the US Food and Drug Administration FDA as adjunctive therapy for the treatment of patients with clinical depression and vagus nerve stimulation delivered by the first implantable device approved by the FDA for the treatment of patients with treatmentresistant depression TRD The goal of this column
clinical depression,There are generic measures available to assess functional impairment associated with clinical conditions but no measure has been developed to specifically evaluate consequences of differing mood disorders our current objective In this study participants took part in a research interview which aimed to differentiate clinical depression from nonclinical mood states The participants who met diagnostic criteria for clinical depression ie bipolar disorder melancholic depression or nonmelancholic depression were asked to judge whether they had experienced any of consequences of their depressive episodes with the measure focusing on occupational personal and interpersonal functioning Such consequences were affirmed by of participants diagnosed with bipolar disorder of those experiencing melancholic depression and of those who had experienced a nonmelancholic depressive episode Results from a threefactor solution were consistent with the expected domains ie work and relationships selfcare and daily functioning intimate relationships and coping and had sound goodness of fit properties Participants with
clinical depression,Although extensive literature has addressed depression among adolescents few studies have emphasized the classification features of depressive symptoms in adolescents To gain insight into the hierarchy and heterogeneity of depression in adolescents based on symptoms adolescents completed the Chinese version of the Center for Epidemiological Studies Depression Scale CESD Using Latent Class Analysis LCA we identified different subgroups of adolescents based on depressive symptoms Multivariate logistic regression analysis was implemented to examine the relations between latent classes and demographic covariates Four latent classes of individuals with depressive symptoms displaying a pattern of hierarchical organization were identified The four classes were ordered by the degree of severity ranging from the students reporting the highest number of depressive symptoms to the lowest number probable clinical depression subthreshold depression mild depression and low depression accounting for and of total sample respectively Further analyses revealed that compared to the mild depression class the rest
clinical depression,BackgroundThere is a lot of evidence for a bidirectional communication between the gut and brain Dysbiosis and increase intestinal permeability may lead to a systemic lowgrade inflammatory response or various neuroactive bacterial metabolite may cross gut barrier Proinflammatory cytokines or bacterial metabolites such as shortchain fatty acid SCFA are known to pass through blood brain barrier and altered neurotransmitter metabolism or increase production of neurotoxic pathways In this review we hypothesized that restoring the gut microbiota ecosystem could improve mental disorders We reviewed literature for human evidence proving clinical relevance of probiotics intake in mental disordersSubjects and methodsWe searched literature with keywords depression or major depressive disorder and probiotic We selected randomized control trial and we considered having both outcomes concerning impact on depressive symptoms but also on inflammation biomarkers microbiota composition cerebral nervous system or cognitionResultsSeven out of fourteen randomized control trial reported significant improvement on depressive symptoms in
clinical depression,BackgroundAlthough genetic epidemiological studies have confirmed increased rates of major depressive disorder among the relatives of people with bipolar affective disorder no report has compared the clinical characteristics of depression between these two groupsAimsTo compare clinical features of depressive episodes across participants with major depressive disorder and bipolar disorder from within bipolar disorder pedigrees and assess the utility of a recently proposed probabilistic approach to distinguishing bipolar from unipolar depression A secondary aim was to identify subgroups within the relatives with major depression potentially indicative of genetic and sporadic subgroupsMethodPatients with bipolar disorder types and n and patients with major depressive disorder from bipolar pedigrees n were assessed using the Diagnostic Interview for Genetic Studies Logistic regression was used to identify distinguishing clinical features and assess the utility of the probabilistic approach Hierarchical cluster analysis was used to identify subgroups within the major depressive disorder sampleResultsBipolar depression was characterised by
